Time,Temp,PWM
222,100.8000031,5.551319843
223,100.8000031,5.666729242
224,100.8000031,5.746138188
225,100.8000031,5.800346817
226,100.8000031,5.836915225
227,100.8000031,5.861135477
228,100.8000031,5.876712021
229,100.8000031,5.886237968
230,100.8000031,5.891528498
231,100.8000031,5.893854236
232,100.8000031,5.89410462
233,100.8000031,5.892902255
234,100.8000031,5.890682967
235,100.6999969,6.437053704
236,100.6999969,6.315031632
237,100.6999969,6.228410762
238,100.6999969,6.166570734
239,100.6999969,6.122077296
240,100.6999969,6.08972647
241,100.6999969,6.065875473
242,100.8000031,5.498672484
243,100.8000031,5.603528928
244,100.8000031,5.675550805
245,100.8000031,5.724588487
246,100.6999969,6.306839103
247,100.6999969,6.209932945
248,100.6999969,6.140893216
249,100.6999969,6.091359987
250,100.6999969,6.055481307
251,100.6999969,6.029160812
252,100.6999969,6.009531047
253,100.6999969,5.994584792
254,100.6999969,5.982916995
255,100.6999969,5.973544117
256,100.6999969,5.965777684
257,100.6999969,5.959135762
258,100.6999969,5.953280997
259,100.6999969,5.947977243
260,100.6999969,5.943059196
261,100.6999969,5.938411144
262,100.6999969,5.933952089
263,100.6999969,5.929625331
264,100.5999985,6.474651147
265,100.5999985,6.351898226
266,100.5999985,6.264937963
267,100.5999985,6.20303256
268,100.5999985,6.158665561
269,100.5999985,6.126575442
270,100.5999985,6.103079142
271,100.5999985,6.085598513
272,100.5999985,6.072328854
273,100.5999985,6.062006875
274,100.5999985,6.053748272
275,100.5999985,6.046934031
276,100.5999985,6.041130844
277,100.5999985,6.036035395
278,100.5999985,6.031435363
279,100.5999985,6.027182122
280,100.5999985,6.023171635
281,100.5999985,6.019331076
282,100.5999985,6.015609467
283,100.5999985,6.011971122
284,100.5999985,6.008391062
285,100.5999985,6.004851802
286,100.5999985,6.001341102
287,100.5999985,5.997850394
288,100.5999985,5.99437368
289,100.5999985,5.990906762
290,100.5999985,5.987446701
291,100.5999985,5.98399144
292,100.5999985,5.98053954
293,100.5999985,5.977089991
294,100.5999985,5.973642089
295,100.5999985,5.970195339
296,100.5999985,5.966749396
297,100.5999985,5.963304017
298,100.6999969,5.410599068
299,100.6999969,5.52573796
300,100.6999969,79.07597999
301,100.5999985,79.96661459
302,100.5999985,80.17188955
303,100.5999985,80.40065054
304,100.5999985,80.64585175
305,100.6999969,80.35330115
306,100.9000015,79.63808798
307,101.0999985,79.12998468
308,101.4000015,78.21717361
309,101.9000015,76.42530673
310,102.5,74.47445535
311,103.0999985,72.91451937
312,103.6999969,71.62719096
313,105.3000031,67.34281683
314,105.3000031,67.59939998
315,106.5,63.83218002
316,107.4000015,62.36554114
317,109.5,57.93041615
318,110.5,56.44746074
319,111.5999985,54.46792342
320,113,50.99430051
321,113,51.20668479
322,114.1999969,49.29310466
323,116.5,45.9206533
324,117.5999985,44.65067832
325,117.5999985,44.83665808
326,120.3000031,39.77700698
327,121.5,38.21472685
328,122.5999985,37.16719539
329,123.6999969,35.974856
330,124.8000031,34.67921491
331,126.3000031,31.11236691
332,127.4000015,30.1631239
333,128.3999939,29.58062251
334,129.5,28.2004983
335,130.5,27.3127603
336,131.5,26.26469444
337,132.8000031,23.45485524
338,133.6999969,23.11641145
339,134.6000061,22.49328292
340,135.5,21.66948583
341,136.3999939,20.70359414
342,137.5,18.53808266
343,138.3999939,17.63609916
344,139.1999969,17.15970116
345,139.8999939,17.02593785
346,140.6000061,16.62745343
347,141.3000031,16.0426194
348,142.1999969,14.22753849
349,142.8000031,14.20394848
350,143.3999939,13.92377777
351,144,13.46280675
352,144.6000061,12.87431907
353,145.3000031,11.64631844
354,145.8000031,11.57117264
355,146.3000031,11.29568865
356,146.8000031,10.87910692
357,146.8000031,10.89747527
358,147.6999969,10.32825487
359,148.3000031,9.023265391
360,148.6999969,8.935163785
361,149.1000061,8.691558734
362,149.3999939,8.887874915
363,149.8000031,8.338880727
364,150.1000061,8.320135281
365,150.5,7.619553109
366,150.5,7.616683051
367,151,7.935841112
368,151.3000031,7.482117948
369,151.5,7.57350487
370,151.6999969,7.542848281
371,152,6.87711496
372,152.1000061,7.368107413
373,152.1000061,7.356053135
374,152.5,6.839469291
375,152.6000061,7.100103323
376,152.8000031,6.682826082
377,152.8000031,7.39238586
378,152.8999939,7.335037942
379,153,7.243798017
380,153.1000061,7.128738263
381,153.1000061,7.546134287
382,153.1999969,7.283755125
383,153.3000031,7.048476714
384,153.3000031,7.029534315
385,153.3999939,7.178651999
386,153.3999939,7.414941668
387,153.5,7.025187657
388,153.5,7.249608897
389,153.5,7.400676643
390,153.5,7.500396944
391,153.6000061,7.014872162
392,153.6000061,7.172081648
393,153.6000061,7.275928952
394,153.5,7.891724602
395,153.5,7.813478266
396,153.5,7.752678709
397,153.5,7.704091898
398,153.3999939,8.213355881
399,153.3999939,8.060709591
400,153.3999939,7.948002282
401,153.3000031,8.412470317
402,153.3000031,8.228715842
403,153.3000031,8.09440499
404,153.1999969,8.544006546
405,153.1999969,8.349940959
406,153.1000061,8.757802603
407,153.1000061,8.534768056
408,153.1000061,8.373305554
409,153,8.804245357
410,153,8.597460946
411,153,8.447545754
412,152.8999939,8.886740887
413,152.8999939,8.685907421
414,152.8000031,9.089548164
415,152.8000031,8.864075602
416,152.6999969,9.250724978
417,152.6000061,9.562671944
418,152.6000061,9.273358139
419,152.5,9.615663047
420,152.5,9.347695226
421,152.3999939,9.705114536
422,152.3999939,9.447899012
423,152.3000031,9.812933332
424,152.1999969,10.11059916
425,152.1999969,9.811900604
426,152.1999969,9.599023141
427,152.1000061,9.995438507
428,152,10.31541547
429,152,10.03267911
430,151.8999939,10.38062145
431,151.8999939,10.11763307
432,151.8000031,10.47948741
433,151.8000031,10.2264864
434,151.6999969,10.5955879
435,151.6999969,10.34775532
436,151.6000061,10.72056312
437,151.6000061,10.47557394
438,151.5,10.85062812
439,151.5,10.60730682
440,151.3999939,10.98370073
441,151.3999939,10.74148946
442,151.3000031,11.1187488
443,151.3000031,10.8773923
444,151.3000031,10.7062041
445,151.3000031,10.58413371
446,151.1999969,11.04574766
447,151.1999969,10.86353482
448,151.1999969,10.73391939
449,151.1999969,10.72703127
450,151.1000061,11.00416721
451,151.1000061,10.87235363
452,151.1000061,10.86603946
453,151.1000061,10.71038099
454,151.1000061,10.66102053
455,151.1000061,10.62457395
456,151.1000061,10.5971671
457,151.1000061,10.57608806
458,151.1000061,10.55943848
459,151,11.0951914
460,151,10.96522023
461,151,10.87251839
462,151,10.86677827
463,151,10.75755369
464,151,10.7219857
465,151,10.69536608
466,151,10.6750103
467,150.8999939,11.2083411
468,150.8999939,11.07684666
469,150.8999939,10.98325074
470,150.8999939,10.91618377
471,150.8999939,10.86768708
472,150.8999939,10.83218957
473,150.8999939,10.80579149
474,150.8999939,10.78576301
475,150.8000031,11.31941132
476,150.8000031,11.18838812
477,150.8000031,11.09529425
478,150.8000031,11.02875091
479,150.8000031,10.98079293
480,150.8000031,10.94584472
481,150.8000031,10.92000334
482,150.8000031,10.90053674
483,150.8000031,10.88553248
484,150.8000031,10.87365187
485,150.6999969,11.41325968
486,150.6999969,11.28650356
487,150.6999969,11.19656886
488,150.6999969,11.13240915
489,150.6999969,11.08629193
490,150.6999969,11.05280446
491,150.6999969,11.02815781
492,150.6999969,11.00969974
493,150.6999969,10.99557367
494,150.6999969,10.98448
495,150.6999969,10.97550901
496,150.6999969,10.9680239
497,150.6999969,10.96157891
498,150.6999969,10.95586199
499,150.6999969,10.95065473
500,150.6999969,10.94580423
501,150.6999969,10.94120346
502,150.6999969,10.9367775
503,150.6999969,10.93247391
